,제목,판매여부,저자,원가,판매가,마일리지,번역여부,엮은이,출간일,페이지,구판여부,ISBN,물류코드
0,포르잔 C++ 에센셜,판매중," Behrouz A. Forouzan , Richard F. Gilberg ","32,000","32,000",960,번역서, 윤인성 , 2020-11-10, 756 ,,9791156645061,4506
1,"IT CookBook, 액세스 2019로 배우는 데이터베이스 기초와 실습",판매중, 김지연 ,"28,000","28,000",840,집필서,, 2020-09-28, 536 ,"이 도서는 <IT CookBook, 데이터베이스 기초와 실습 ",9791156645054,4505
2,포르잔 C++ 바이블,판매중," Behrouz A. Forouzan , Richard F. Gilberg ","45,000","45,000","1,350",번역서, 윤인성 , 2020-08-31, 1192 ,,9791156645030,4503
3,딥러닝을 위한 선형대수학,판매중, Gilbert Strang ,"38,000","38,000","1,140",번역서, 부산대학교 산업수학센터(FFMIMC) , 2020-08-05, 560 ,,9791156644972,4497
4,"IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습(2판)",판매중," 박우창 , 남송휘 , 이현룡 ","29,000","29,000",870,집필서,, 2020-07-30, 600 ,"이 도서는 <IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습>의 개정판입니다. 구판 정보 보기",9791156645023,4502
5,대학을 버려야 대학이 산다,판매중, 조동성 외 인천대학교 가족 178명 ,"18,000","18,000",540,집필서,, 2020-07-25, 216 ,,9791156645016,4501
6,"IT CookBook, 따라 하면서 배우는 사물인터넷",판매중, 양재삼 ,"28,000","28,000",840,집필서,, 2020-07-23, 448 ,,9791156644941,4494
7,R로 하는 다변량 데이터 분석 : 이론부터 실무 활용까지,판매중," 카와하시 잇코 , 이와마 노리카즈 , 스즈키 마사유키 ","32,000","32,000",960,번역서, 권기태 , 2020-07-10, 544 ,,9791156644989,4498
8,창의적 공학설계(3판),판매중, 김은경 ,"23,000","23,000",690,집필서,, 2020-07-10, 408 ,이 도서는 <창의적 공학설계(개정판)>의 개정판입니다. 구판 정보 보기,9791156644934,4493
9,공학 핵심수학(2판)  : 기초부터 심화까지 핵심만 쏙쏙,판매중, 함남우 ,"23,000","23,000",690,집필서,, 2020-07-06, 484 ,이 도서는 <공학 핵심수학 ,9791156644996,4499
10,응용이 보이는 선형대수학 : 파이썬과 함께하는 선형대수학 이론과 응용,판매중, 이건명 ,"31,000","31,000",930,집필서,, 2020-07-06, 592 ,,9791156645009,4500
11,"IT CookBook, 초연결 사회의 데이터통신과 네트워킹",판매중, 강문식 ,"29,000","29,000",870,집필서,, 2020-06-30, 504 ,"이 도서는 <IT CookBook, New 데이터통신과 네트워킹 ",9791156644927,4492
12,"IT CookBook, 쉽게 배우는 MFC 윈도우 프로그래밍",판매중," 김선우 , 신화선 ","30,000","30,000",900,집필서,, 2020-06-20, 772 ,,9791156644903,4490
13,"IT CookBook, 인공지능 시대를 위한 컴퓨터 과학 개론",판매중, 정기철 ,"27,000","27,000",810,집필서,, 2020-06-19, 520 ,,9791156644958,4495
14,"IT CookBook, 코틀린을 활용한 안드로이드 프로그래밍",판매중," 우재남 , 유혜림 ","34,000","34,000","1,020",집필서,, 2020-06-19, 564 ,,9791156644965,4496
15,"IT CookBook, 처음 만나는 신재생에너지",판매중, 김지홍 ,"25,000","25,000",750,집필서,, 2020-06-10, 388 ,,9791156644859,4485
16,프리드버그 선형대수학,판매중," 스티븐 H. 프리드버그 , 아놀드 J. 인셀 , 로렌스 E. 스펜스 ","35,000","35,000","1,050",번역서," 한빛수학교재연구소 , 심형보(감수) ", 2020-06-05, 616 ,,9791156644910,4491
17,"IT CookBook, CentOS 리눅스",판매중, 이종원 ,"32,000","32,000",960,집필서,, 2020-05-30, 792 ,,9791156644897,4489
18,"Microeconomics, 6th Edition, Asia Edition",판매중," David Besanko , Ronald Braeutigam ","49,000","49,000","1,470",원서,, 2020-05-01, 856 ,,9781119666226,30000
19,누구나 파이썬 통계분석,판매중, 타니아이 히로키 ,"26,000","26,000",780,번역서, 권기태 , 2020-04-06, 384 ,,9791156644880,4488
20,제대로 배우는 MATLAB&Simulink,판매중, 방성완 ,"29,000","29,000",870,집필서,, 2020-03-05, 576 ,,9791156644828,4482
21,공학도를 위한 경영 : 4차 산업혁명 시대,판매중, 하귀룡 ,"25,000","25,000",750,집필서,, 2020-02-28, 348 ,,9791156644866,4486
22,"SWedu 011, 앱 인벤터(2판) : 쉽고 재미있게 만드는 앱 프로그래밍",판매중, 이종원 ,"24,000","24,000",720,집필서,, 2020-02-21, 408 ,"이 도서는 <SWedu, 앱 인벤터>의 개정판입니다. 구판 정보 보기",9791156644873,4487
23,"IT CookBook, 컴파일러의 이해 : 내공 있는 프로그래머로 길러주는 (증보판)",판매중, 박두순 ,"27,000","27,000",810,집필서,, 2020-02-20, 508 ,"이 도서는 <IT CookBook, 컴파일러의 이해 ",9791156644835,4483
24,(2020) 완벽분석! 사회조사분석사 2급 실기,판매중," 노경섭 , 김성일 , 김기만 ","28,000","28,000",840,집필서,, 2020-01-30, 384 ,,9791156644620,4462
25,"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed",판매중," 하비 디텔 , 폴 디텔 , 데이빗 쇼픈스 ","32,000","32,000",960,번역서, 송경희 , 2020-01-30, 860 ,,9791156644842,4484
26,기초수학 : Basic Mathematics(2판),판매중, 이재원 ,"20,000","20,000",600,집필서,, 2020-01-10, 312 ,이 도서는 <기초수학 ,9791156644811,4481
27,"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(5판)",판매중," 우재남 , 박길식 ","29,000","29,000",870,집필서,, 2020-01-08, 572 ,"이 도서는 <IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(4판)>의 개정판입니다. 구판 정보 보기",9791156644804,4480
28,"IT CookBook, 4차 산업혁명 시대의 정보통신개론",판매중, 고응남 ,"25,000","25,000",750,집필서,, 2020-01-06, 600 ,"이 도서는 <IT CookBook, New 정보통신개론 ",9791156644767,4476
29,"IT CookBook, C 언어 일취월장",판매중, 신윤환 ,"28,000","28,000",840,집필서,, 2020-01-06, 808 ,,9791156644774,4477
30,"IT CookBook, UI 디자인과 프로토타이핑을 위한 Adobe XD",판매중, 이영주 ,"27,000","27,000",810,집필서,, 2020-01-06, 552 ,,9791156644750,4475
31,"IT CookBook, UI/UX 디자인 이론과 실습 with Adobe XD",판매중, 이영주 ,"28,000","28,000",840,집필서,, 2020-01-06, 560 ,,9791156644651,4465
32,"IT CookBook, 객체 지향 설계와 분석을 위한 UML 기초와 응용",판매중," 한정수 , 김귀정 ","24,000","24,000",720,집필서,, 2020-01-06, 336 ,,9791156644781,4478
33,"IT CookBook, 리눅스 실습 for Beginner",판매중, 우재남 ,"24,000","24,000",720,집필서,, 2020-01-06, 488 ,,9791156644705,4470
34,"IT CookBook, 비주얼 베이직 2019 입문",판매중, 임관철 ,"25,000","25,000",750,집필서,, 2020-01-06, 436 ,,9791156644699,4469
35,"IT CookBook, 스크래치로 배우는 컴퓨팅 사고",판매중," 조성호 , 고광일 ","21,000","21,000",630,집필서,, 2020-01-06, 384 ,,9791156644798,4479
36,"IT CookBook, 엑셀로 배우는 데이터 분석",판매중, 박주미 ,"21,000","21,000",630,집필서,, 2020-01-06, 480 ,,9791156644682,4468
37,"IT CookBook, 초연결 사회를 위한 컴퓨터 개론",판매중, 조성호 ,"26,000","26,000",780,집필서,, 2020-01-06, 538 ,,9791156644675,4467
38,"IT CookBook, 파이썬 for Beginner(2판)",판매중, 우재남 ,"23,000","23,000",690,집필서,, 2020-01-06, 504 ,"이 도서는 <IT CookBook,  파이썬 for Beginner>의 개정판입니다. 구판 정보 보기",9791156644668,4466
39,NO BULLSHIT 선형대수학 가이드,판매중, Ivan Savov ,"28,000","28,000",840,번역서," 김대정 , 모현선 , 배준우 ", 2020-01-06, 628 ,,9791156644729,4472
40,NO BULLSHIT 수학&물리 가이드,판매중, Ivan Savov ,"28,000","28,000",840,번역서, 권기영 , 2020-01-06, 568 ,,9791156644644,4464
41,정보교과교육론(2판),판매중," 이태욱 , 최현종 , 전용주 ","27,000","27,000",810,집필서,, 2020-01-06, 464 ,,9791156644743,4474
42,실무로 완성하는 PLC(멜섹Q) : 서보를 이용한 위치 제어,판매중, 정완보 ,"28,000","28,000",840,집필서,, 2020-01-02, 568 ,,9791156644736,4473
43,"College Physics, 5th Edition",판매중, Alan Giambattista ,"45,000","45,000","1,350",원서,, 2020-01-01, 1232 ,,9781260547719,8999
44,Stata로 끝내는 논문,판매중, 정규형 ,"25,000","25,000",750,집필서,, 2019-12-09, 372 ,,9791156644712,4471
45,"Business Statistics: For Contemporary Decision Making, 10th Edition, Asia Edition",판매중, Ken Black ,"49,000","49,000","1,470",원서,, 2019-12-01, 832 ,,9781119668220,30001
46,(2020) 완벽분석! 사회조사분석사 2급 필기,판매중," 노경섭 , 김성일 , 김기만 ","30,000","30,000",900,집필서,, 2019-11-20, 588 ,,9791156644613,4461
47,"IT CookBook, 유닉스 이론과 실습(3판)",판매중," 이종원 , 윤소정 ","25,000","25,000",750,집필서,, 2019-11-13, 568 ,,9791156644637,4463
48,"IT CookBook, 경영경제통계학",판매중, 유영태 ,"28,000","28,000",840,집필서,, 2019-10-18, 472 ,,9791156644606,4460
49,"Swedu, 정보적 사고에서 인공 지능까지",판매중, 김현철 ,"19,000","19,000",570,집필서,, 2019-09-28, 184 ,,9791156644545,4454
50,"IT CookBook, 문제 해결력을 키우는 디자인 씽킹",판매중," 송태란 , 이정현 ","22,000","22,000",660,집필서,, 2019-09-10, 300 ,,9791156644583,4458
51,"IT CookBook, 모두를 위한 R 데이터 분석 입문",판매중, 오세종 ,"26,000","26,000",780,집필서,, 2019-08-24, 480 ,,9791156644590,4459
52,"IT CookBook, 최신 컴퓨터 구조",판매중," 임석구 , 홍경호 ","28,000","28,000",840,집필서,, 2019-08-17, 616 ,,9791156644569,4456
53,"IT CookBook , MySQL로 배우는 데이터베이스 개론과 실습",판매중," 박우창 , 남송휘 , 이현룡 ","27,000","27,000",810,집필서,, 2019-08-15, 572 ,,9791156644576,4457
54,"IT CookBook, HTML5 웹 프로그래밍 입문(3판)",판매중, 윤인성 ,"26,000","26,000",780,집필서,, 2019-07-20, 488 ,"이 도서는 <IT CookBook, HTML5 웹 프로그래밍 입문(개정판)>의 개정판입니다. 구판 정보 보기",9791156644552,4455
55,"IT CookBook, 컴퓨터 활용과 실습 2016",판매중, 김주영 ,"24,000","24,000",720,집필서,, 2019-07-15, 520 ,,9791156644507,4450
56,"IT Cookbook, 처음 만나는 전자회로",판매중, 황형수 ,"24,000","24,000",720,집필서,, 2019-07-10, 440 ,,9791156644491,4449
57,스트랭 미분방정식과 선형대수학,판매중, Gilbert Strang ,"30,000","30,000",900,번역서, 한빛수학교재연구소 , 2019-07-09, 552 ,,9791156644422,4442
58,"IT CookBook, 네트워크 개론(3판)",판매중, 진혜진 ,"25,000","25,000",750,집필서,, 2019-07-05, 516 ,"이 도서는 <IT CookBook, 네트워크 개론(개정판) ",9791156644521,4452
59,"IT CookBook, 텐서플로로 배우는 딥러닝",판매중," 박혜정 , 석경하 , 심주용 , 황창하 ","27,000","27,000",810,집필서,, 2019-06-30, 448 ,,9791156644538,4453
60,"IT CookBook, 파워포인트 2016",판매중, 김지연 ,"19,000","19,000",570,집필서,, 2019-06-29, 420 ,,9791156644514,4451
61,"SWedu, 스크래치 3.0 : 컴퓨팅 사고력을 키우는 블록 코딩",판매중, 고광일 ,"22,000","22,000",660,집필서,, 2019-06-10, 392 ,,9791156644484,4448
62,"IT CookBook, design school 포토샵 & 일러스트레이터 CC 2019",판매중, 이영주 ,"23,000","23,000",690,집필서,, 2019-06-06, 616 ,,9791156644477,4447
